대여소_ID,대여건수,반납건수,총이용건수,주소1,주소2,위도,경도
ST-4,35679.0,37620.0,73299.0,서울특별시 마포구 월드컵로 72,475-54,37.555649,126.910629
ST-1521,35001.0,38286.0,73287.0,서울특별시 구로구 디지털로31길 12,태평양물산IT빌딩 앞,37.484859,126.895187
ST-2571,35438.0,37750.0,73188.0,서울특별시 송파구 올림픽로35길 125,,37.516338,127.099854
ST-2833,36393.0,36673.0,73066.0,서울특별시 송파구 송파구 석촌동 158,,37.507172,127.101242
ST-1403,36531.0,36525.0,73056.0,서울특별시 금천구 벚꽃로 309,가산디지털단지 7번출구,37.481232,126.881485
ST-368,36306.0,36221.0,72527.0,서울특별시 성동구 아차산로 113,성수역 2번출구 앞,37.54459,127.057083
ST-259,36715.0,35801.0,72516.0,서울특별시 광진구 구의동 96,아차산역 3번출구,37.551224,127.089706
ST-1253,36195.0,36105.0,72300.0,서울특별시 강서구 마곡서1로 68,공항초등학교건너편,37.562679,126.820473
ST-55,34378.0,37892.0,72270.0,서울특별시 영등포구 국제금융로 24,24-3,37.524612,126.927834
ST-1285,34357.0,37361.0,71718.0,서울특별시 노원구 동일로 1309-3,,37.645565,127.063347
ST-1839,35650.0,36035.0,71685.0,서울특별시 강동구 성내동 449-22,,37.521976,127.133621
ST-307,34923.0,36649.0,71572.0,서울특별시 영등포구 신길동1368,대방역6번출구,37.513592,126.925934
ST-1195,33858.0,37465.0,71323.0,서울특별시 성동구 고산자로 123,응봉동 3-10,37.55125,127.035103
ST-542,35863.0,35403.0,71266.0,서울특별시 송파구 오금로 20,송파구 신천동 15,37.520451,127.104202
ST-1194,35359.0,35700.0,71059.0,서울특별시 광진구 군자동 111-2,세종사이버대학교,37.553417,127.073196
ST-974,33118.0,37797.0,70915.0,서울특별시 광진구 능동로 120,학생회관,37.541912,127.077637
ST-2039,36197.0,34455.0,70652.0,서울특별시 양천구 목동동로 350 목동신시가지아파트5단지,,37.53302,126.877899
ST-1300,35246.0,35361.0,70607.0,서울특별시 동대문구 한천로 42,장안동위더스빌옆,37.5667,127.062424
ST-2016,35129.0,35347.0,70476.0,서울특별시 양천구 오목로 300 현대하이페리온2,,37.524902,126.869804
ST-1320,35079.0,35365.0,70444.0,서울특별시 영등포구 선유서로 76 신동아아파트,,37.522697,126.885681
ST-1496,35235.0,35173.0,70408.0,서울특별시 양천구 목동서로 38,목동1단지아파트 상가 앞 (월촌중학교 버스정류소 옆),37.537869,126.881409
ST-2991,35200.0,35182.0,70382.0,서울특별시 송파구 송파대로 567 잠실주공아파트,,37.516335,127.093803
ST-1291,35089.0,35174.0,70263.0,서울특별시 노원구 노해로 450,서울북부고용센터앞,37.653549,127.058083
ST-2501,34227.0,35812.0,70039.0,서울특별시 동대문구 답십리로56길 124,,37.567692,127.057892
ST-1973,35193.0,34762.0,69955.0,서울특별시 영등포구 당산동4가 10-21,,37.52869,126.903862
ST-479,33231.0,36339.0,69570.0,서울특별시 은평구 역촌동 45-34,역촌파출소,37.604736,126.915337
ST-849,34217.0,35320.0,69537.0,서울특별시 중랑구 면목로 325,,37.58099,127.088242
ST-494,34680.0,34831.0,69511.0,서울특별시 강동구 천호대로 1139 강동그린타워,,37.534508,127.138405
ST-3043,34332.0,34934.0,69266.0,서울특별시 성동구 동일로 169,,37.547535,127.066826
ST-1649,35028.0,34237.0,69265.0,서울특별시 영등포구 양산로 213,아크로타워 스퀘어(영등포시장),37.522518,126.907219
ST-1005,34446.0,34646.0,69092.0,서울특별시 양천구 신정동 310-8,신트리공원 입구,37.51395,126.856056
ST-1279,33463.0,35407.0,68870.0,서울특별시 노원구 노해로 459 메가빌딩,,37.654217,127.059212
ST-1006,33670.0,34740.0,68410.0,서울특별시 양천구 목동중앙로 70 서울영도초등학교,,37.536377,126.871513
ST-205,31657.0,36688.0,68345.0,서울특별시 마포구 도화동 292-29,마포역 4번출구 뒤,37.539272,126.945915
ST-2797,34162.0,34174.0,68336.0,서울특별시 송파구 위례성대로 29 한성백제역,,37.516479,127.114983
ST-2888,33911.0,34261.0,68172.0,서울특별시 강서구 내발산동 657-2,,37.555454,126.837517
ST-416,33757.0,34203.0,67960.0,서울특별시 영등포구 선유로 59 문래 아카데미,,37.519089,126.889099
ST-683,31885.0,35851.0,67736.0,서울특별시 동작구 노량진로 지하 238,동작구 본동 344-10,37.512844,126.952469
ST-2764,34989.0,32655.0,67644.0,서울특별시 양천구 목동서로 271,,37.523197,126.869301
ST-287,33798.0,33681.0,67479.0,서울특별시 영등포구 당산동4가 96-2,제2구민체육센타 앞,37.526386,126.902756
ST-1517,33434.0,33843.0,67277.0,서울특별시 강서구 마곡중앙로 36,마곡엠밸리 15단지(1502동) 건너편,37.557468,126.82972
ST-1123,33495.0,33312.0,66807.0,서울특별시 중랑구 동일로 1127,공릉1단지아파트,37.631111,127.07016
ST-2748,33386.0,33334.0,66720.0,서울특별시 강동구 강동구 성내동 192-8,,37.535416,127.133095
ST-1070,33377.0,33323.0,66700.0,서울특별시 송파구 송파동 68,석촌역 2번출구,37.505932,127.10775
ST-1378,33470.0,33188.0,66658.0,서울특별시 광진구 자양로 167,광진경찰서,37.542519,127.084084
ST-2137,33289.0,33315.0,66604.0,서울특별시 강북구 도봉로 342,,37.63797,127.025902
ST-3070,31942.0,34423.0,66365.0,서울특별시 송파구 풍납동 219-3,,37.534882,127.115227
ST-2482,33045.0,32972.0,66017.0,서울특별시 강서구 방화대로319,,37.569248,126.816505
ST-53,33704.0,32088.0,65792.0,서울특별시 영등포구 여의공원로 13,13,37.524666,126.918022
ST-1046,33008.0,32713.0,65721.0,서울특별시 강동구 성내동 43-2,,37.536556,127.125534
ST-1062,32418.0,33298.0,65716.0,서울특별시 강서구 공항대로 33 송정역(5호선),,37.561531,126.810699
ST-840,31935.0,33749.0,65684.0,서울특별시 송파구 석촌호수로12길 3-5,송파구 잠실동 31,37.514088,127.09903
ST-1684,31845.0,33827.0,65672.0,서울특별시 송파구 풍성로5길 16 솔바람복지센타,,37.536419,127.116165
ST-1582,32467.0,33083.0,65550.0,서울특별시 송파구 석촌호수로 176,석촌호교차로 (스타벅스 앞),37.506561,127.096558
ST-2791,32104.0,33434.0,65538.0,서울특별시 노원구 서울 노원구 마들로3길 15 (월계동),,37.627411,127.062141
ST-3235,33566.0,31845.0,65411.0,서울특별시 영등포구 버드나루로 15,,37.520241,126.912453
ST-873,32432.0,32937.0,65369.0,서울특별시 구로구 구로중앙로 174,구로동 603-26,37.503117,126.880386
ST-550,32540.0,32666.0,65206.0,서울특별시 송파구 올림픽로 240 롯데월드,,37.511841,127.095688
ST-1910,29993.0,35127.0,65120.0,서울특별시 서초구 신반포로 165 반포쇼핑타운,,37.505608,127.002159
ST-1280,32343.0,32536.0,64879.0,서울특별시 노원구 화랑로 429,동해문화예술관앞,37.619381,127.057854
ST-105,34326.0,30526.0,64852.0,서울특별시 성동구 성수이로 118 성수아카데미타워,,37.54517,127.057571
ST-514,33712.0,31046.0,64758.0,서울특별시 강서구 마곡동 221-4,,37.573124,126.822388
ST-910,31511.0,33159.0,64670.0,서울특별시 성북구 월곡로 지하 107,성북구 하월곡동 37-4,37.602627,127.041634
ST-918,32483.0,32155.0,64638.0,서울특별시 구로구 도림천로 351,구로구 구로동 72-9,37.494404,126.894447
ST-112,32236.0,32320.0,64556.0,서울특별시 성동구 아차산로 171,성수사거리 버스정류장 앞,37.54258,127.063309
ST-831,32954.0,31485.0,64439.0,서울특별시 강서구 방화동 829-11,,37.577106,126.811996
ST-2796,32076.0,32307.0,64383.0,서울특별시 송파구 송파구 송파동 97-2,,37.502056,127.11055
ST-1254,31869.0,32322.0,64191.0,서울특별시 강서구 방화대로34길 65,방화동 강서기동대앞,37.570499,126.820084
ST-2960,32462.0,31659.0,64121.0,서울특별시 양천구 목동동로 50 목동신시가지아파트12단지,,37.514122,126.860405
ST-1699,32234.0,31873.0,64107.0,서울특별시 영등포구 경인로 775 에이스하이테크시티,,37.51413,126.899391
ST-59,34608.0,29308.0,63916.0,서울특별시 영등포구 여의대로 38,27,37.521908,126.918953
ST-1859,31362.0,32520.0,63882.0,서울특별시 송파구 백제고분로 275,,37.502644,127.097397
ST-3226,31872.0,31946.0,63818.0,서울특별시 강서구 강서로56길 49 원당공원화장실,,37.559475,126.841476
ST-2160,31639.0,31865.0,63504.0,서울특별시 마포구 성산동 594,,37.565044,126.903603
ST-281,32115.0,31361.0,63476.0,서울특별시 영등포구 양평동3가 14-1,양평우림 이비즈센타 앞,37.52565,126.887817
ST-377,31302.0,31931.0,63233.0,서울특별시 광진구 구의강변로 106,구의삼성쉐르빌 앞,37.540062,127.094498
ST-2047,31154.0,32062.0,63216.0,서울특별시 강서구 마곡동 769-4,,37.559128,126.834953
